Image ID,Pothole,Number of Potholes,Level,
pothole_image_10453,1,1,A,
pothole_image_10460,1,1,A,
pothole_image_10473,1,1,A,
pothole_image_10477,1,2,A,
pothole_image_10486,1,1,A,
pothole_image_10499,1,1,A,
pothole_image_10512,1,2,A,
pothole_image_10515,1,1,A,
pothole_image_10520,1,1,A,
pothole_image_10523,1,3,A,
pothole_image_10527,1,2,A,
pothole_image_10532,1,1,A,
pothole_image_10534,1,1,A,
pothole_image_10540,1,2,A,
pothole_image_10544,1,2,A,
pothole_image_10545,1,2,A,
pothole_image_10548,1,2,A,
pothole_image_10552,1,2,A,
pothole_image_10553,1,1,A,
pothole_image_10567,1,1,A,
pothole_image_10580,1,1,A,
pothole_image_10587,1,1,A,
pothole_image_1070,1,2,A,
pothole_image_1071,1,1,A,
pothole_image_1073,1,2,A,
pothole_image_1074,1,3,A,
pothole_image_10827,1,1,A,
pothole_image_10832,1,1,A,
pothole_image_10833,1,1,A,
pothole_image_10836,1,1,A,
pothole_image_10851,1,1,A,
pothole_image_10854,1,1,A,
pothole_image_10857,1,1,A,
pothole_image_1123,1,1,A,
pothole_image_1126,1,1,A,
pothole_image_1130,1,1,A,
pothole_image_1141,1,2,A,
pothole_image_11544,1,2,A,
pothole_image_1157,1,1,A,
pothole_image_1160,1,1,A,
pothole_image_1162,1,4,A,
pothole_image_1164,1,1,A,
pothole_image_1168,1,1,A,
pothole_image_1171,1,1,A,
pothole_image_1178,1,1,A,
pothole_image_1180,1,1,A,
pothole_image_1181,1,1,A,
pothole_image_1182,1,1,A,
pothole_image_1188,1,1,A,
pothole_image_1189,1,3,A,
pothole_image_1190,1,1,A,
pothole_image_1195,1,2,A,
pothole_image_1196,1,4,A,
pothole_image_1198,1,2,A,
pothole_image_1202,1,2,A,
pothole_image_1219,1,1,A,
pothole_image_1224,1,2,A,
pothole_image_1228,1,1,A,
pothole_image_1229,1,2,A,
pothole_image_1230,1,2,A,
pothole_image_1231,1,2,A,
pothole_image_1232,1,2,A,
pothole_image_1236,1,1,A,
pothole_image_1250,1,1,A,
pothole_image_1253,1,2,A,
pothole_image_1256,1,2,A,
pothole_image_1263,1,1,A,
pothole_image_1264,1,1,A,
pothole_image_1265,1,2,A,
pothole_image_1266,1,1,A,
pothole_image_1273,1,2,A,
pothole_image_12730,1,2,A,
pothole_image_1277,1,2,A,
pothole_image_1280,1,1,A,
pothole_image_1281,1,1,A,
pothole_image_12814,1,1,A,
pothole_image_12836,1,2,A,
pothole_image_12865,1,1,A,
pothole_image_1289,1,1,A,
pothole_image_1290,1,2,A,
pothole_image_1291,1,1,A,
pothole_image_12919,1,2,A,
pothole_image_1294,1,1,A,
pothole_image_1296,1,1,A,
pothole_image_12961,1,1,A,
pothole_image_12966,1,1,A,
pothole_image_13020,1,1,A,
pothole_image_1303,1,2,A,
pothole_image_13030,1,2,A,
pothole_image_1305,1,5,A,
pothole_image_13065,1,1,A,
pothole_image_13092,1,2,A,
pothole_image_1310,1,1,A,
pothole_image_13107,1,2,A,
pothole_image_13118,1,1,A,
pothole_image_13125,1,1,A,
pothole_image_1313,1,1,A,
pothole_image_13154,1,3,A,
pothole_image_13160,1,3,A,
pothole_image_13162,1,1,A,
pothole_image_13169,1,3,A,
pothole_image_1317,1,1,A,
pothole_image_13173,1,2,A,
pothole_image_1320,1,2,A,
pothole_image_13203,1,2,A,
pothole_image_1321,1,2,A,
pothole_image_13213,1,1,A,
pothole_image_1322,1,1,A,
pothole_image_13231,1,1,A,
pothole_image_1325,1,1,A,
pothole_image_13258,1,2,A,
pothole_image_13284,1,2,A,
pothole_image_1329,1,2,A,
pothole_image_1330,1,1,A,
pothole_image_13312,1,1,A,
pothole_image_1333,1,1,A,
pothole_image_13339,1,2,A,
pothole_image_1334,1,1,A,
pothole_image_13340,1,1,A,
pothole_image_13341,1,1,A,
pothole_image_13347,1,3,A,
pothole_image_1336,1,2,A,
pothole_image_13371,1,1,A,
pothole_image_13383,1,1,A,
pothole_image_13388,1,1,A,
pothole_image_1340,1,1,A,
pothole_image_13411,1,2,A,
pothole_image_13424,1,1,A,
pothole_image_1343,1,2,A,
pothole_image_13452,1,2,A,
pothole_image_13496,1,2,A,
pothole_image_13502,1,1,A,
pothole_image_13511,1,2,A,
pothole_image_1353,1,1,A,
pothole_image_13539,1,2,A,
pothole_image_13553,1,1,A,
pothole_image_13554,1,1,A,
pothole_image_13564,1,1,A,
pothole_image_13566,1,1,A,
pothole_image_1357,1,2,A,
pothole_image_13602,1,2,A,
pothole_image_13717,1,1,A,
pothole_image_13720,1,1,A,
pothole_image_13762,1,4,A,
pothole_image_13765,1,1,A,
pothole_image_1377,1,2,A,
pothole_image_13782,1,4,A,
pothole_image_13785,1,1,A,
pothole_image_1384,1,1,A,
pothole_image_13879,1,2,A,
pothole_image_1389,1,1,A,
pothole_image_13897,1,1,A,
pothole_image_13901,1,1,A,
pothole_image_13927,1,1,A,
pothole_image_13942,1,1,A,
pothole_image_13958,1,1,A,
pothole_image_1397,1,1,A,
pothole_image_13991,1,2,A,
pothole_image_14095,1,1,A,
pothole_image_14100,1,2,A,
pothole_image_14115,1,1,A,
pothole_image_1413,1,1,A,
pothole_image_1415,1,2,A,
pothole_image_14152,1,3,A,
pothole_image_14154,1,3,A,
pothole_image_1417,1,2,A,
pothole_image_14170,1,2,A,
pothole_image_1418,1,1,A,
pothole_image_14182,1,2,A,
pothole_image_14194,1,1,A,
pothole_image_1420,1,3,A,
pothole_image_1421,1,1,A,
pothole_image_14235,1,2,A,
pothole_image_1429,1,1,A,
pothole_image_1430,1,2,A,
pothole_image_1431,1,1,A,
pothole_image_14313,1,2,A,
pothole_image_14322,1,2,A,
pothole_image_1434,1,1,A,
pothole_image_14369,1,1,A,
pothole_image_1437,1,1,A,
pothole_image_1441,1,1,A,
pothole_image_14412,1,2,A,
pothole_image_1442,1,2,A,
pothole_image_1443,1,1,A,
pothole_image_14433,1,1,A,
pothole_image_1444,1,2,A,
pothole_image_1445,1,2,A,
pothole_image_14469,1,1,A,
pothole_image_1449,1,2,A,
pothole_image_1450,1,2,A,
pothole_image_14528,1,2,A,
pothole_image_14537,1,2,A,
pothole_image_14538,1,1,A,
pothole_image_1454,1,2,A,
pothole_image_14549,1,1,A,
pothole_image_1455,1,2,A,
pothole_image_1456,1,1,A,
pothole_image_1460,1,2,A,
pothole_image_1461,1,1,A,
pothole_image_14630,1,2,A,
pothole_image_14651,1,1,A,
pothole_image_1473,1,1,A,
pothole_image_1474,1,1,A,
pothole_image_1479,1,2,A,
pothole_image_14791,1,1,A,
pothole_image_1487,1,2,A,
pothole_image_14913,1,1,A,
pothole_image_14995,1,1,A,
pothole_image_14999,1,1,A,
pothole_image_1503,1,1,A,
pothole_image_1507,1,3,A,
pothole_image_1509,1,1,A,
pothole_image_15090,1,2,A,
pothole_image_1514,1,1,A,
pothole_image_15179,1,1,A,
pothole_image_1518,1,1,A,
pothole_image_1519,1,1,A,
pothole_image_15192,1,2,A,
pothole_image_1520,1,1,A,
pothole_image_1521,1,1,A,
pothole_image_15215,1,1,A,
pothole_image_15219,1,1,A,
pothole_image_1522,1,2,A,
pothole_image_15331,1,2,A,
pothole_image_15332,1,1,A,
pothole_image_15358,1,2,A,
pothole_image_15363,1,1,A,
pothole_image_15376,1,3,A,
pothole_image_1539,1,1,A,
pothole_image_15395,1,1,A,
pothole_image_1540,1,1,A,
pothole_image_15401,1,1,A,
pothole_image_1541,1,1,A,
pothole_image_15417,1,1,A,
pothole_image_1543,1,1,A,
pothole_image_15444,1,2,A,
pothole_image_15449,1,1,A,
pothole_image_1547,1,1,A,
pothole_image_1548,1,1,A,
pothole_image_1550,1,1,A,
pothole_image_15576,1,1,A,
pothole_image_15601,1,2,A,
pothole_image_15610,1,2,A,
pothole_image_15615,1,1,A,
pothole_image_15628,1,1,A,
pothole_image_15639,1,1,A,
pothole_image_15653,1,2,A,
pothole_image_15654,1,1,A,
pothole_image_15658,1,1,A,
pothole_image_15673,1,2,A,
pothole_image_15675,1,3,A,
pothole_image_15685,1,2,A,
pothole_image_1571,1,1,A,
pothole_image_1574,1,1,A,
pothole_image_1578,1,1,A,
pothole_image_15783,1,1,A,
pothole_image_15784,1,2,A,
pothole_image_15830,1,1,A,
pothole_image_15854,1,1,A,
pothole_image_15912,1,1,A,
pothole_image_1592,1,1,A,
pothole_image_15940,1,1,A,
pothole_image_15945,1,1,A,
pothole_image_15956,1,1,A,
pothole_image_15958,1,1,A,
pothole_image_1597,1,1,A,
pothole_image_15991,1,2,A,
pothole_image_1600,1,2,A,
pothole_image_16004,1,2,A,
pothole_image_1604,1,1,A,
pothole_image_16042,1,4,A,
pothole_image_1606,1,1,A,
pothole_image_16064,1,2,A,
pothole_image_16072,1,1,A,
pothole_image_1608,1,1,A,
pothole_image_1609,1,1,A,
pothole_image_16101,1,2,A,
pothole_image_16109,1,1,A,
pothole_image_1611,1,1,A,
pothole_image_16120,1,3,A,
pothole_image_1616,1,2,A,
pothole_image_16172,1,1,A,
pothole_image_16183,1,2,A,
pothole_image_1619,1,1,A,
pothole_image_1620,1,1,A,
pothole_image_16203,1,4,A,
pothole_image_1621,1,1,A,
pothole_image_16218,1,1,A,
pothole_image_16334,1,1,A,
pothole_image_1637,1,2,A,
pothole_image_16391,1,2,A,
pothole_image_1642,1,2,A,
pothole_image_16440,1,2,A,
pothole_image_16466,1,2,A,
pothole_image_16483,1,2,A,
pothole_image_1651,1,2,A,
pothole_image_1652,1,1,A,
pothole_image_16536,1,2,A,
pothole_image_16539,1,2,A,
pothole_image_1654,1,1,A,
pothole_image_16544,1,1,A,
pothole_image_16570,1,1,A,
pothole_image_16605,1,1,A,
pothole_image_1663,1,1,A,
pothole_image_16643,1,1,A,
pothole_image_1665,1,1,A,
pothole_image_16679,1,1,A,
pothole_image_1670,1,1,A,
pothole_image_16773,1,2,A,
pothole_image_16780,1,1,A,
pothole_image_16781,1,1,A,
pothole_image_16786,1,1,A,
pothole_image_1682,1,1,A,
pothole_image_1684,1,1,A,
pothole_image_16868,1,1,A,
pothole_image_1687,1,1,A,
pothole_image_1688,1,1,A,
pothole_image_16880,1,1,A,
pothole_image_16884,1,2,A,
pothole_image_16920,1,1,A,
pothole_image_1694,1,1,A,
pothole_image_16944,1,1,A,
pothole_image_16977,1,2,A,
pothole_image_17001,1,2,A,
pothole_image_17007,1,2,A,
pothole_image_1704,1,1,A,
pothole_image_1707,1,1,A,
pothole_image_17073,1,2,A,
pothole_image_1708,1,2,A,
pothole_image_17099,1,1,A,
pothole_image_1715,1,2,A,
pothole_image_17156,1,2,A,
pothole_image_1717,1,1,A,
pothole_image_1718,1,3,A,
pothole_image_17188,1,2,A,
pothole_image_17196,1,1,A,
pothole_image_17201,1,2,A,
pothole_image_17214,1,2,A,
pothole_image_17223,1,4,A,
pothole_image_17234,1,3,A,
pothole_image_17254,1,1,A,
pothole_image_17267,1,1,A,
pothole_image_1728,1,1,A,
pothole_image_1732,1,1,A,
pothole_image_17323,1,1,A,
pothole_image_17343,1,1,A,
pothole_image_17360,1,1,A,
pothole_image_1737,1,2,A,
pothole_image_17383,1,2,A,
pothole_image_17390,1,1,A,
pothole_image_17408,1,1,A,
pothole_image_17416,1,2,A,
pothole_image_17425,1,2,A,
pothole_image_17428,1,2,A,
pothole_image_17432,1,2,A,
pothole_image_17448,1,3,A,
pothole_image_17455,1,4,A,
pothole_image_17465,1,1,A,
pothole_image_17468,1,1,A,
pothole_image_1748,1,1,A,
pothole_image_17486,1,1,A,
pothole_image_17501,1,1,A,
pothole_image_17502,1,1,A,
pothole_image_1751,1,1,A,
pothole_image_1752,1,3,A,
pothole_image_17542,1,1,A,
pothole_image_17543,1,1,A,
pothole_image_17548,1,3,A,
pothole_image_17550,1,1,A,
pothole_image_1756,1,1,A,
pothole_image_1760,1,1,A,
pothole_image_1763,1,1,A,
pothole_image_17650,1,2,A,
pothole_image_1766,1,1,A,
pothole_image_17707,1,1,A,
pothole_image_1771,1,1,A,
pothole_image_17738,1,1,A,
pothole_image_1774,1,1,A,
pothole_image_17742,1,1,A,
pothole_image_1777,1,1,A,
pothole_image_17775,1,1,A,
pothole_image_17782,1,2,A,
pothole_image_17792,1,1,A,
pothole_image_17825,1,1,A,
pothole_image_17837,1,1,A,
pothole_image_1784,1,1,A,
pothole_image_1786,1,3,A,
pothole_image_17876,1,1,A,
pothole_image_17883,1,1,A,
pothole_image_17889,1,2,A,
pothole_image_17897,1,3,A,
pothole_image_1793,1,1,A,
pothole_image_17936,1,1,A,
pothole_image_1795,1,1,A,
pothole_image_17976,1,2,A,
pothole_image_1798,1,1,A,
pothole_image_17980,1,3,A,
pothole_image_1799,1,2,A,
pothole_image_1800,1,1,A,
pothole_image_1803,1,1,A,
pothole_image_18040,1,1,A,
pothole_image_1805,1,2,A,
pothole_image_1808,1,1,A,
pothole_image_18087,1,2,A,
pothole_image_1809,1,2,A,
pothole_image_18120,1,1,A,
pothole_image_18127,1,1,A,
pothole_image_18136,1,3,A,
pothole_image_1816,1,1,A,
pothole_image_18180,1,3,A,
pothole_image_1820,1,2,A,
pothole_image_18211,1,2,A,
pothole_image_18224,1,2,A,
pothole_image_18225,1,1,A,
pothole_image_18230,1,3,A,
pothole_image_18257,1,2,A,
pothole_image_1828,1,1,A,
pothole_image_18302,1,1,A,
pothole_image_18304,1,1,A,
pothole_image_1832,1,1,A,
pothole_image_1834,1,1,A,
pothole_image_1835,1,1,A,
pothole_image_18352,1,2,A,
pothole_image_18359,1,1,A,
pothole_image_18367,1,1,A,
pothole_image_18375,1,2,A,
pothole_image_18376,1,1,A,
pothole_image_18387,1,1,A,
pothole_image_18389,1,1,A,
pothole_image_1839,1,1,A,
pothole_image_18394,1,1,A,
pothole_image_1845,1,1,A,
pothole_image_1846,1,1,A,
pothole_image_1849,1,2,A,
pothole_image_18500,1,1,A,
pothole_image_18527,1,3,A,
pothole_image_18590,1,2,A,
pothole_image_18593,1,1,A,
pothole_image_1860,1,1,A,
pothole_image_1861,1,1,A,
pothole_image_18616,1,3,A,
pothole_image_18660,1,1,A,
pothole_image_18666,1,2,A,
pothole_image_18673,1,1,A,
pothole_image_18684,1,1,A,
pothole_image_18708,1,1,A,
pothole_image_18766,1,2,A,
pothole_image_18795,1,3,A,
pothole_image_18803,1,1,A,
pothole_image_18808,1,1,A,
pothole_image_18814,1,2,A,
pothole_image_18857,1,1,A,
pothole_image_18921,1,1,A,
pothole_image_18922,1,2,A,
pothole_image_1899,1,1,A,
pothole_image_19023,1,2,A,
pothole_image_19062,1,1,A,
pothole_image_19072,1,1,A,
pothole_image_19094,1,1,A,
pothole_image_19095,1,1,A,
pothole_image_19105,1,1,A,
pothole_image_19130,1,1,A,
pothole_image_19133,1,1,A,
pothole_image_19161,1,1,A,
pothole_image_19177,1,1,A,
pothole_image_19184,1,2,A,
pothole_image_19196,1,1,A,
pothole_image_19213,1,1,A,
pothole_image_19232,1,3,A,
pothole_image_19244,1,2,A,
pothole_image_19246,1,1,A,
pothole_image_1927,1,3,A,
pothole_image_19271,1,2,A,
pothole_image_19274,1,2,A,
pothole_image_19283,1,1,A,
pothole_image_19301,1,2,A,
pothole_image_19306,1,2,A,
pothole_image_19335,1,1,A,
pothole_image_19350,1,2,A,
pothole_image_1937,1,5,A,
pothole_image_19372,1,2,A,
pothole_image_1938,1,1,A,
pothole_image_19389,1,1,A,
pothole_image_1940,1,1,A,
pothole_image_1942,1,1,A,
pothole_image_19423,1,3,A,
pothole_image_19452,1,1,A,
pothole_image_19460,1,3,A,
pothole_image_19467,1,2,A,
pothole_image_19469,1,3,A,
pothole_image_19470,1,2,A,
pothole_image_19472,1,2,A,
pothole_image_1949,1,2,A,
pothole_image_1952,1,5,A,
pothole_image_19520,1,1,A,
pothole_image_19521,1,1,A,
pothole_image_19522,1,2,A,
pothole_image_19529,1,2,A,
pothole_image_19536,1,1,A,
pothole_image_19538,1,2,A,
pothole_image_1954,1,1,A,
pothole_image_19558,1,1,A,
pothole_image_1957,1,1,A,
pothole_image_19576,1,3,A,
pothole_image_1960,1,3,A,
pothole_image_19606,1,2,A,
pothole_image_1961,1,1,A,
pothole_image_19611,1,1,A,
pothole_image_19624,1,1,A,
pothole_image_19641,1,3,A,
pothole_image_19650,1,1,A,
pothole_image_19655,1,1,A,
pothole_image_19661,1,1,A,
pothole_image_19671,1,2,A,
pothole_image_19674,1,2,A,
pothole_image_1968,1,1,A,
pothole_image_19687,1,2,A,
pothole_image_19717,1,3,A,
pothole_image_1972,1,3,A,
pothole_image_19728,1,2,A,
pothole_image_19730,1,1,A,
pothole_image_19732,1,2,A,
pothole_image_19737,1,1,A,
pothole_image_19739,1,3,A,
pothole_image_19745,1,1,A,
pothole_image_19758,1,3,A,
pothole_image_1976,1,1,A,
pothole_image_19811,1,1,A,
pothole_image_19834,1,2,A,
pothole_image_1984,1,1,A,
pothole_image_1987,1,1,A,
pothole_image_1990,1,2,A,
pothole_image_19968,1,3,A,
pothole_image_2000,1,1,A,
pothole_image_20013,1,2,A,
pothole_image_20028,1,1,A,
pothole_image_20047,1,1,A,
pothole_image_20051,1,2,A,
pothole_image_2006,1,1,A,
pothole_image_20087,1,1,A,
pothole_image_2010,1,1,A,
pothole_image_20104,1,3,A,
pothole_image_20127,1,1,A,
pothole_image_20142,1,1,A,
pothole_image_20146,1,2,A,
pothole_image_20161,1,3,A,
pothole_image_20166,1,2,A,
pothole_image_2018,1,1,A,
pothole_image_2022,1,1,A,
pothole_image_20230,1,1,A,
pothole_image_20231,1,3,A,
pothole_image_20236,1,1,A,
pothole_image_20239,1,1,A,
pothole_image_2028,1,1,A,
pothole_image_20289,1,2,A,
pothole_image_2034,1,1,A,
pothole_image_20353,1,1,A,
pothole_image_20370,1,1,A,
pothole_image_2040,1,1,A,
pothole_image_20422,1,1,A,
pothole_image_2044,1,1,A,
pothole_image_20470,1,1,A,
pothole_image_2050,1,2,A,
pothole_image_20539,1,1,A,
pothole_image_2055,1,1,A,
pothole_image_20576,1,1,A,
pothole_image_2060,1,3,A,
pothole_image_20616,1,2,A,
pothole_image_20684,1,1,A,
pothole_image_20734,1,1,A,
pothole_image_2081,1,1,A,
pothole_image_20818,1,2,A,
pothole_image_20824,1,2,A,
pothole_image_20901,1,1,A,
pothole_image_2091,1,1,A,
pothole_image_2092,1,1,A,
pothole_image_2093,1,1,A,
pothole_image_2095,1,1,A,
pothole_image_20998,1,2,A,
pothole_image_21126,1,2,A,
pothole_image_21164,1,3,A,
pothole_image_21189,1,1,A,
pothole_image_21248,1,1,A,
pothole_image_2125,1,1,A,
pothole_image_2126,1,1,A,
pothole_image_2127,1,1,A,
pothole_image_21281,1,1,A,
pothole_image_21296,1,1,A,
pothole_image_21326,1,1,A,
pothole_image_21341,1,1,A,
pothole_image_21365,1,2,A,
pothole_image_21390,1,2,A,
pothole_image_2144,1,1,A,
pothole_image_2145,1,1,A,
pothole_image_21453,1,1,A,
pothole_image_2147,1,1,A,
pothole_image_2148,1,1,A,
pothole_image_21488,1,2,A,
pothole_image_21538,1,1,A,
pothole_image_2159,1,1,A,
pothole_image_21625,1,1,A,
pothole_image_21631,1,1,A,
pothole_image_21649,1,2,A,
pothole_image_21680,1,2,A,
pothole_image_21731,1,1,A,
pothole_image_21746,1,1,A,
pothole_image_21750,1,2,A,
pothole_image_21883,1,3,A,
pothole_image_21915,1,2,A,
pothole_image_21944,1,1,A,
pothole_image_2195,1,1,A,
pothole_image_21991,1,2,A,
pothole_image_21998,1,2,A,
pothole_image_2201,1,1,A,
pothole_image_22098,1,1,A,
pothole_image_22132,1,1,A,
pothole_image_2214,1,1,A,
pothole_image_22190,1,3,A,
pothole_image_22205,1,1,A,
pothole_image_22218,1,1,A,
pothole_image_2228,1,1,A,
pothole_image_22339,1,1,A,
pothole_image_22554,1,1,A,
pothole_image_22578,1,1,A,
pothole_image_22603,1,1,A,
pothole_image_22604,1,2,A,
pothole_image_22605,1,2,A,
pothole_image_22614,1,2,A,
pothole_image_22733,1,3,A,
pothole_image_22756,1,2,A,
pothole_image_2280,1,1,A,
pothole_image_22811,1,1,A,
pothole_image_22812,1,2,A,
pothole_image_2282,1,1,A,
pothole_image_22861,1,1,A,
pothole_image_22884,1,2,A,
pothole_image_22886,1,1,A,
pothole_image_22888,1,2,A,
pothole_image_22903,1,1,A,
pothole_image_22948,1,1,A,
pothole_image_22959,1,2,A,
pothole_image_2296,1,1,A,
pothole_image_22966,1,1,A,
pothole_image_2297,1,1,A,
pothole_image_2298,1,1,A,
pothole_image_23012,1,2,A,
pothole_image_23017,1,1,A,
pothole_image_23025,1,1,A,
pothole_image_23043,1,1,A,
pothole_image_23048,1,2,A,
pothole_image_23050,1,2,A,
pothole_image_23061,1,1,A,
pothole_image_23067,1,1,A,
pothole_image_23071,1,1,A,
pothole_image_23102,1,1,A,
pothole_image_23106,1,1,A,
pothole_image_23117,1,1,A,
pothole_image_23118,1,1,A,
pothole_image_23125,1,2,A,
pothole_image_2322,1,3,A,
pothole_image_23224,1,1,A,
pothole_image_23229,1,1,A,
pothole_image_23316,1,2,A,
pothole_image_23320,1,2,A,
pothole_image_23343,1,1,A,
pothole_image_23346,1,2,A,
pothole_image_23348,1,1,A,
pothole_image_23363,1,1,A,
pothole_image_23374,1,1,A,
pothole_image_23383,1,2,A,
pothole_image_23413,1,2,A,
pothole_image_23417,1,1,A,
pothole_image_23490,1,1,A,
pothole_image_23493,1,2,A,
pothole_image_23502,1,1,A,
pothole_image_23546,1,1,A,
pothole_image_2358,1,1,A,
pothole_image_2359,1,1,A,
pothole_image_2360,1,1,A,
pothole_image_2364,1,1,A,
pothole_image_23663,1,2,A,
pothole_image_23677,1,3,A,
pothole_image_2368,1,1,A,
pothole_image_23741,1,4,A,
pothole_image_23806,1,1,A,
pothole_image_2381,1,1,A,
pothole_image_2382,1,1,A,
pothole_image_2383,1,1,A,
pothole_image_2384,1,1,A,
pothole_image_23892,1,1,A,
pothole_image_23909,1,2,A,
pothole_image_2393,1,1,A,
pothole_image_23957,1,2,A,
pothole_image_23967,1,1,A,
pothole_image_2398,1,1,A,
pothole_image_23993,1,2,A,
pothole_image_2400,1,1,A,
pothole_image_24013,1,1,A,
pothole_image_24094,1,1,A,
pothole_image_24179,1,1,A,
pothole_image_24193,1,4,A,
pothole_image_24203,1,1,A,
pothole_image_24212,1,2,A,
pothole_image_24303,1,1,A,
pothole_image_24338,1,2,A,
pothole_image_24356,1,1,A,
pothole_image_24455,1,2,A,
pothole_image_2449,1,1,A,
pothole_image_2451,1,1,A,
pothole_image_2453,1,1,A,
pothole_image_2456,1,1,A,
pothole_image_24565,1,1,A,
pothole_image_24567,1,1,A,
pothole_image_2457,1,1,A,
pothole_image_24630,1,2,A,
pothole_image_2467,1,1,A,
pothole_image_24687,1,2,A,
pothole_image_24690,1,2,A,
pothole_image_2470,1,1,A,
pothole_image_24706,1,1,A,
pothole_image_2471,1,1,A,
pothole_image_24724,1,2,A,
pothole_image_24749,1,2,A,
pothole_image_24784,1,2,A,
pothole_image_2484,1,1,A,
pothole_image_24882,1,1,A,
pothole_image_2495,1,1,A,
pothole_image_2500,1,1,A,
pothole_image_25066,1,1,A,
pothole_image_25085,1,1,A,
pothole_image_25219,1,1,A,
pothole_image_25226,1,2,A,
pothole_image_25384,1,2,A,
pothole_image_2544,1,1,A,
pothole_image_25455,1,3,A,
pothole_image_25474,1,3,A,
pothole_image_25522,1,2,A,
pothole_image_2560,1,1,A,
pothole_image_25602,1,1,A,
pothole_image_2561,1,1,A,
pothole_image_25632,1,1,A,
pothole_image_25723,1,1,A,
pothole_image_25734,1,2,A,
pothole_image_2575,1,1,A,
pothole_image_2576,1,1,A,
pothole_image_2577,1,1,A,
pothole_image_2578,1,1,A,
pothole_image_2579,1,1,A,
pothole_image_2580,1,1,A,
pothole_image_25880,1,1,A,
pothole_image_25911,1,1,A,
pothole_image_25972,1,2,A,
pothole_image_2598,1,3,A,
pothole_image_2599,1,3,A,
pothole_image_2600,1,3,A,
pothole_image_26186,1,1,A,
pothole_image_2619,1,1,A,
pothole_image_26190,1,1,A,
pothole_image_26222,1,1,A,
pothole_image_26297,1,2,A,
pothole_image_26321,1,2,A,
pothole_image_26329,1,2,A,
pothole_image_26331,1,2,A,
pothole_image_26406,1,1,A,
pothole_image_26491,1,1,A,
pothole_image_26500,1,1,A,
pothole_image_26586,1,2,A,
pothole_image_2665,1,1,A,
pothole_image_26653,1,1,A,
pothole_image_2666,1,1,A,
pothole_image_2667,1,1,A,
pothole_image_2669,1,1,A,
pothole_image_26748,1,2,A,
pothole_image_2675,1,1,A,
pothole_image_26772,1,1,A,
pothole_image_26780,1,1,A,
pothole_image_2681,1,1,A,
pothole_image_26818,1,1,A,
pothole_image_2687,1,1,A,
pothole_image_26871,1,3,A,
pothole_image_2688,1,2,A,
pothole_image_26893,1,3,A,
pothole_image_2690,1,2,A,
pothole_image_2691,1,1,A,
pothole_image_2693,1,1,A,
pothole_image_2706,1,1,A,
pothole_image_27063,1,2,A,
pothole_image_2707,1,2,A,
pothole_image_2708,1,2,A,
pothole_image_2709,1,2,A,
pothole_image_2715,1,1,A,
pothole_image_2716,1,1,A,
pothole_image_2719,1,1,A,
pothole_image_27213,1,1,A,
pothole_image_27236,1,1,A,
pothole_image_27316,1,1,A,
pothole_image_27338,1,2,A,
